Sr No.,Text,Sentiment
72,"Controversial decision leads to disqualification in cycling race",Negative
73,"NBA star fined for altercation with opposing player",Negative
74,"World Cup bids submitted amid allegations of corruption",Negative
75,"Veteran player announces retirement tour after illustrious career",Neutral
76,"Soccer match abandoned due to fan violence",Negative
77,"Top-ranked golfer suffers surprise defeat in major tournament",Negative
78,"Record-breaking attendance at annual sporting event",Positive
79,"Doping scandal threatens to overshadow upcoming Olympics",Negative
80,"Athlete's charity work recognized with prestigious award",Positive
81,"Swimmer breaks longstanding world record in stunning display of athleticism",Positive
82,"Coach under fire for controversial tactics in crucial playoff game",Negative
83,"Tennis star makes miraculous comeback from career-threatening injury",Positive
84,"Boxing legend hospitalized after health scare",Neutral
85,"IOC announces new sport to be added to Olympic program",Neutral
86,"Cricket match postponed due to inclement weather",Neutral
87,"Team captain faces backlash for controversial comments",Negative
88,"Surprise retirement announcement from beloved sports commentator",Neutral
89,"Rumors swirl around potential trade of star player",Neutral
90,"Youngest ever to win world championship in skateboarding",Positive
91,"Athlete cleared of doping allegations after lengthy investigation",Positive
92,"Legendary coach returns to lead struggling team",Positive
93,"Major upset as heavy favorite knocked out in early rounds of tournament",Negative
94,"Soccer star involved in car accident, escapes with minor injuries",Neutral
95,"Paralympic athlete inspires with remarkable performance on world stage",Positive
96,"Tennis sensation continues dominance with another Grand Slam victory",Positive
97,"Investigation launched into match-fixing allegations in professional soccer",Negative
98,"Underdog team wins improbable victory in championship game",Positive
99,"Record-breaking deal signed for broadcasting rights to sporting event",Positive
100,"Star athlete announces retirement to pursue career in broadcasting",Neutral
101,"Rookie sensation leads team to unexpected playoff berth",Positive
102,"Controversial ruling overturns game-winning touchdown in NFL game",Negative
103,"Gymnastics prodigy earns perfect score in international competition",Positive
104,"Surprising upset in heavyweight boxing title fight",Negative
105,"Tennis star fined for unsportsmanlike conduct during match",Negative
106,"Underdog team upsets defending champions in thrilling upset",Positive
107,"Legendary coach honored with statue outside stadium",Positive
108,"Soccer match ends in draw after controversial referee decisions",Neutral
109,"Rising star suffers season-ending injury, dampening team's playoff hopes",Negative
110,"Cycling legend announces retirement after final race",Neutral
111,"Basketball player suspended for violating league's drug policy",Negative
112,"High-profile athlete tests positive for banned substance",Negative
113,"Surprise winner crowned in marathon race",Positive
114,"Athlete breaks longstanding world record in track and field event",Positive
115,"Tennis tournament marred by accusations of match-fixing",Negative
116,"Soccer star wins prestigious Ballon d'Or award",Positive
117,"IOC announces new regulations to combat doping in sports",Neutral
118,"Golfer disqualified from tournament for rule violation",Negative
119,"Team owner embroiled in scandal over discriminatory remarks",Negative
120,"Surprise announcement: Olympic Games to feature new sports",Positive
121,"Athlete undergoes successful surgery following career-threatening injury",Positive
122,"Young prodigy signs multi-million dollar contract with professional team",Positive
123,"Hometown hero leads team to victory in championship game",Positive
124,"Cricketer achieves milestone with record-breaking century",Positive
125,"Former champion makes comeback bid after years in retirement",Neutral
126,"Controversial referee decision sparks debate in soccer community",Negative
127,"Skiing sensation dominates competition to claim gold medal",Positive
128,"Team captain announces retirement after illustrious career",Neutral
129,"NBA star faces backlash for controversial comments on social media",Negative
130,"Underdog team makes miraculous run to finals in underdog story",Positive
131,"Athlete stripped of medal after failing drug test",Negative
132,"Cycling race canceled due to safety concerns",Neutral
133,"College sports program under investigation for recruiting violations",Negative
134,"Boxing legend honored with lifetime achievement award",Positive
135,"Surprise inclusion of rookie in starting lineup pays off for team",Positive
136,"Doping scandal rocks professional cycling",Negative
137,"Soccer superstar involved in altercation with opposing player",Negative
138,"Gymnast's performance wows judges and audience alike",Positive
139,"Controversial ruling leads to disqualification in swimming event",Negative
140,"Athlete announces retirement to focus on philanthropic endeavors",Neutral
141,"Star quarterback leads team to Super Bowl victory",Positive
142,"Controversial call costs team victory in crucial playoff game",Negative
143,"Athlete accused of sexual misconduct faces suspension",Negative
144,"Underdog team stuns favorites to claim championship title",Positive
145,"Record-breaking transfer fee paid for soccer prodigy",Positive
146,"Fan-favorite player signs contract extension with hometown team",Positive
147,"IOC announces plans for sustainable Olympics",Positive
148,"Surprising result in golf major as unknown player claims victory",Positive
149,"Boxer makes emotional farewell after final fight",Neutral
150,"Athlete honored with prestigious sportsmanship award",Positive
151,"Scandal erupts as coach accused of player mistreatment",Negative
152,"Tennis star under investigation for possible doping violations",Negative
153,"World Cup qualifier ends in dramatic shootout",Neutral
154,"Soccer legend's charity work recognized with humanitarian award",Positive
155,"Young phenom makes professional debut with impressive performance",Positive
156,"Injury-plagued team falls short of playoff berth",Negative
157,"Controversial decision leads to overturned result in cricket match",Negative
158,"Athlete's inspiring recovery from injury captivates fans",Positive
159,"Rising star's breakthrough performance steals spotlight at major event",Positive
160,"Legendary coach returns from retirement to lead struggling team",Positive
161,"Surprise announcement: Paralympic Games to feature new sports",Positive
162,"Up-and-coming player earns spot on national team",Positive
163,"Cycling race ends in thrilling sprint finish",Positive
164,"Olympic champion launches initiative to promote youth sports",Positive
165,"Rival teams engage in heated exchange during playoff series",Negative
166,"Athlete makes history as first from their country to win Olympic gold",Positive
167,"Scandal rocks cricket world as match-fixing allegations surface",Negative
168,"Record-breaking attendance at annual tennis tournament",Positive
169,"Soccer match abandoned due to security concerns",Negative
170,"Basketball star sidelined with season-ending injury",Negative
171,"Swimmer breaks world record in stunning display of athleticism",Positive
172,"Athlete withdraws from competition citing mental health concerns",Neutral
173,"Team celebrates historic win in emotional victory parade",Positive
174,"Controversial referee decision alters outcome of championship game",Negative
175,"Golfer's controversial remarks spark debate in sports community",Negative
176,"Up-and-coming athlete wins gold medal in surprise upset",Positive
177,"Former champion's comeback bid falls short in championship fight",Negative
178,"IOC announces plans to increase gender equality in sports",Positive
179,"Soccer star faces criticism for poor performance in key match",Negative
180,"Athlete breaks silence on personal struggles in candid interview",Neutral
181,"Team owner facing backlash over insensitive remarks",Negative
182,"High-profile player traded to rival team in blockbuster deal",Neutral
183,"Tennis sensation captures hearts with fairytale run at Grand Slam",Positive
184,"Surprise winner crowned in Formula 1 race after favorites crash out",Positive
185,"Cycling legend announces final race before retirement",Neutral
186,"Boxing match ends in controversial draw",Neutral
187,"Soccer superstar donates millions to charity",Positive
188,"Doping scandal rocks track and field ahead of major championship",Negative
189,"Athlete's remarkable recovery inspires comeback story",Positive
190,"Underdog team pulls off stunning upset in championship game",Positive
191,"Controversial officiating mars high-stakes soccer match",Negative
192,"Basketball phenom's draft stock rises after impressive pre-draft workouts",Positive
193,"Rival teams clash in heated confrontation during playoff series",Negative
194,"Gymnast's historic performance earns gold medal",Positive
195,"Athlete's retirement ceremony draws emotional tributes from fans",Positive
196,"Surprise announcement: Olympic Games to feature esports",Positive
197,"Soccer match postponed due to adverse weather conditions",Neutral
198,"Top-ranked tennis player suffers surprise defeat in early rounds",Negative
199,"Athlete faces backlash for controversial celebration after scoring",Negative
200,"NBA star launches foundation to support underserved communities",Positive
201,"India defeats Australia in thrilling Test match with last-minute wicket",Positive
202,"Nadal and Djokovic face off in epic five-set Wimbledon final",Positive
203,"Controversy erupts as doping allegations surface in Tour de France",Negative
204,"Simone Biles withdraws from gymnastics competition due to mental health concerns",Negative
205,"Manchester United suffers humiliating defeat to underdog team in FA Cup",Negative
206,"Tom Brady leads Tampa Bay Buccaneers to Super Bowl victory in overtime thriller",Positive
207,"Serena Williams announces retirement from professional tennis",Neutral
208,"Cristiano Ronaldo breaks all-time goal-scoring record in European football",Positive
209,"Boxer Manny Pacquiao returns to the ring for one last fight",Neutral
210,"LeBron James suffers ankle injury, sidelined for remainder of NBA season",Negative
211,"Lewis Hamilton clinches seventh Formula 1 World Championship title",Positive
212,"College basketball scandal rocks NCAA with allegations of recruiting violations",Negative
213,"Olympic Games postponed for the first time in history due to global pandemic",Neutral
214,"New Zealand's Kane Williamson leads team to victory in ICC World Test Championship",Positive
215,"NBA introduces new play-in tournament format for postseason qualification",Neutral
216,"Tiger Woods makes emotional comeback at Masters Tournament after car crash",Positive
217,"Ashleigh Barty claims top spot in WTA rankings with Wimbledon victory",Positive
218,"Tennis star Naomi Osaka advocates for mental health awareness in sports",Positive
219,"Manchester City crowned Premier League champions in dominant season",Positive
220,"Golfer Phil Mickelson becomes oldest major winner at PGA Championship",Positive
221,"NFL expands regular season to 17 games per team in new collective bargaining agreement",Neutral
222,"Tokyo Olympics marred by controversy as protests erupt over hosting decision",Negative
223,"Rafael Nadal withdraws from US Open citing injury concerns",Negative
224,"Cricket Australia rocked by ball-tampering scandal during Ashes series",Negative
225,"Simone Biles makes history with unprecedented moves in gymnastics routines",Positive
226,"Liverpool's Jurgen Klopp named FIFA Coach of the Year after Premier League triumph",Positive
227,"LeBron James signs contract extension with Los Angeles Lakers",Positive
228,"Serena Williams falls short of Grand Slam title at French Open",Negative
229,"Novak Djokovic faces criticism for on-court outburst at Wimbledon",Negative
230,"Tennis prodigy Coco Gauff shocks world with upset win over top-ranked opponent",Positive
231,"NBA legend Kobe Bryant posthumously inducted into Basketball Hall of Fame",Positive
232,"Euro 2020 final ends in penalty shootout drama with Italy emerging as champions",Positive
233,"Caroline Wozniacki bids farewell to professional tennis with emotional farewell",Neutral
234,"Manchester United's Ole Gunnar Solskjaer sacked after poor run of results",Negative
235,"Formula 1 introduces budget cap to promote competitiveness among teams",Neutral
236,"Indian Premier League (IPL) suspended midway due to COVID-19 outbreak",Neutral
237,"Naomi Osaka boycotts media at French Open, citing mental health concerns",Neutral
238,"England's Ben Stokes leads stunning comeback against India in Test series",Positive
239,"Boxing legend Floyd Mayweather announces return to the ring for exhibition match",Neutral
240,"Simone Biles wins record-breaking seventh national gymnastics title",Positive
241,"Roger Federer undergoes knee surgery, uncertain about return to tennis",Negative
242,"Tennis star Andy Murray makes triumphant return from hip surgery",Positive
243,"Cristiano Ronaldo's hat-trick secures World Cup qualification for Portugal",Positive
244,"Lewis Hamilton wins controversial Saudi Arabian Grand Prix amid safety concerns",Neutral
245,"College football playoffs expanded to include 12 teams starting next season",Neutral
246,"Tokyo Olympics sees Simone Biles make history with unprecedented gymnastics feats",Positive
247,"Novak Djokovic disqualified from US Open after accidentally hitting line judge",Negative
248,"Ashleigh Barty takes indefinite break from tennis to focus on mental health",Neutral
249,"Indian cricket team captain Virat Kohli steps down from T20 captaincy",Neutral
250,"Messi leads Argentina to Copa America glory with victory over Brazil",Positive
251,"NBA draft sees Cade Cunningham selected as top pick by Detroit Pistons",Neutral
252,"Serena Williams announces engagement to Reddit co-founder Alexis Ohanian",Positive
253,"Wimbledon champion Ashleigh Barty tests positive for COVID-19",Negative
254,"Tennis legend Rafael Nadal surpasses 1,000 career wins",Positive
255,"Manchester City's Pep Guardiola wins Premier League Manager of the Season",Positive
256,"LeBron James partners with Walmart to launch line of sports apparel",Positive
257,"Simone Biles wins bronze medal on balance beam at Tokyo Olympics",Positive
258,"India's Rishabh Pant guides team to historic Test series win in Australia",Positive
259,"Formula 1 introduces sprint qualifying races at select Grand Prix weekends",Neutral
260,"Naomi Osaka withdraws from Wimbledon to prioritize mental well-being",Neutral
261,"England's Harry Kane named Golden Boot winner at Euro 2020",Positive
262,"Cricket Australia appoints new CEO amid fallout from ball-tampering scandal",Neutral
263,"Golfer Jon Rahm wins US Open after dramatic final round",Positive
264,"NFL quarterback Aaron Rodgers announces surprise retirement",Neutral
265,"Tennis star Dominic Thiem sidelined with wrist injury, out for remainder of season",Negative
266,"Cristiano Ronaldo becomes highest-scoring player in international football history",Positive
267,"Lewis Hamilton signs historic contract extension with Mercedes F1 team",Positive
268,"Ashleigh Barty returns to tennis circuit after hiatus, wins Cincinnati Open",Positive
269,"Roger Federer undergoes second knee surgery, casts doubt on future in tennis",Negative
270,"Tennis sensation Emma Raducanu stuns world with US Open triumph",Positive
271,"England's Ben Stokes takes indefinite break from cricket to prioritize mental health",Neutral
272,"Boxing icon Manny Pacquiao announces retirement from professional boxing",Neutral
273,"Simone Biles honored with ESPY Award for Courage after Olympics withdrawal",Positive
274,"Novak Djokovic completes career Grand Slam with victory at French Open",Positive
275,"Tennis star Bianca Andreescu battles injury, forced to withdraw from tournaments",Negative
276,"Cristiano Ronaldo returns to Manchester United in blockbuster transfer",Positive
277,"Lewis Hamilton claims record eighth Formula 1 World Championship title",Positive
278,"Naomi Osaka makes fashion statement at Met Gala with tennis-themed outfit",Positive
279,"England's Jofra Archer ruled out of cricket World Cup with elbow injury",Negative
280,"Boxing legend Oscar De La Hoya announces comeback fight at age 48",Neutral
281,"Simone Biles named Time's Athlete of the Year for resilience and advocacy",Positive
282,"Roger Federer hints at retirement following early exit from Wimbledon",Neutral
283,"Tennis prodigy Coco Gauff reaches first Grand Slam final at Australian Open",Positive
284,"Cricket legend Shane Warne passes away at age 52",Negative
285,"Ashleigh Barty announces shock retirement from professional tennis",Neutral
286,"India's Virat Kohli becomes fastest batsman to score 25 Test centuries",Positive
287,"NFL star Tom Brady launches NFT platform for sports memorabilia",Neutral
288,"Lewis Hamilton tests positive for COVID-19, misses Sakhir Grand Prix",Negative
289,"Serena Williams launches venture capital fund for female entrepreneurs",Positive
290,"Formula 1 driver Romain Grosjean escapes horrific crash at Bahrain Grand Prix",Positive
291,"Naomi Osaka wins Laureus World Sportswoman of the Year award",Positive
292,"England's Joe Root scores double century against India in Test match",Positive
293,"Boxing icon Mike Tyson returns to ring for exhibition match against Evander Holyfield",Neutral
294,"Simone Biles makes competitive return at gymnastics event, wins gold medal",Positive
295,"Roger Federer undergoes successful knee surgery, eyes return to tennis",Positive
296,"Tennis star Aryna Sabalenka rises to world number one ranking",Positive
297,"Cristiano Ronaldo scores hat-trick in Manchester United's Champions League comeback",Positive
298,"Lewis Hamilton launches foundation to promote diversity in motorsports",Positive
299,"Serena Williams reaches milestone with 1,000 career match wins",Positive
300,"NFL quarterback Patrick Mahomes signs historic contract extension with Kansas City Chiefs",Positive
301,"Tennis star Naomi Osaka announces break from tennis to focus on mental health",Neutral
302,"Cristiano Ronaldo surpasses 800 career goals milestone",Positive
303,"Lewis Hamilton wins British Grand Prix in controversial finish",Positive
304,"Ashleigh Barty clinches Australian Open title with dominant performance",Positive
305,"Novak Djokovic overtakes Roger Federer's record for most weeks as world number one",Positive
306,"Simone Biles launches gymnastics academy to inspire next generation of athletes",Positive
307,"Roger Federer hints at retirement after early exit from Wimbledon",Neutral
308,"England's Ben Stokes named ICC Player of the Year for stellar performances",Positive
309,"Boxing legend Manny Pacquiao elected as president of Philippines",Positive
310,"India's Virat Kohli breaks Sachin Tendulkar's record for fastest 10,000 ODI runs",Positive
311,"Tom Brady leads Tampa Bay Buccaneers to back-to-back Super Bowl titles",Positive
312,"Serena Williams announces return to professional tennis after extended break",Positive
313,"Cristiano Ronaldo named UEFA Men's Player of the Year for record sixth time",Positive
314,"Lewis Hamilton launches initiative to address environmental issues in Formula 1",Positive
315,"Ashleigh Barty becomes first Australian to win Wimbledon singles title since 1980",Positive
316,"Novak Djokovic completes Calendar Grand Slam with victory at US Open",Positive
317,"Simone Biles wins gold medal in all-around gymnastics competition at Olympics",Positive
318,"Roger Federer undergoes surgery for knee injury, uncertain about return to tennis",Neutral
319,"England's Ben Stokes leads team to historic Ashes series victory in Australia",Positive
320,"Boxing icon Manny Pacquiao announces retirement from politics",Neutral
321,"India's Virat Kohli breaks Ricky Ponting's record for most centuries as Test captain",Positive
322,"Tom Brady named MVP of Super Bowl for record fifth time",Positive
323,"Serena Williams launches fashion line inspired by her tennis career",Positive
324,"Cristiano Ronaldo returns to Manchester United in blockbuster transfer deal",Positive
325,"Lewis Hamilton clinches record eighth Formula 1 World Championship title",Positive
326,"Ashleigh Barty becomes first Australian to win French Open singles title since 1973",Positive
327,"Novak Djokovic wins record-breaking 20th Grand Slam title at Wimbledon",Positive
328,"Simone Biles withdraws from Olympics to focus on mental well-being",Neutral
329,"Roger Federer announces retirement from professional tennis",Neutral
330,"England's Ben Stokes appointed captain of cricket team",Positive
331,"Boxing legend Manny Pacquiao honored with statue in hometown",Positive
332,"India's Virat Kohli named ICC Men's Cricketer of the Decade",Positive
333,"Tom Brady announces retirement from NFL after illustrious career",Neutral
334,"Serena Williams reveals struggles with anxiety in new documentary",Neutral
335,"Cristiano Ronaldo breaks silence on transfer saga, expresses excitement for new challenge",Neutral
336,"Lewis Hamilton partners with Mercedes to promote diversity in motorsports",Positive
337,"Ashleigh Barty takes break from tennis to pursue other interests",Neutral
338,"Novak Djokovic faces backlash for vaccine skepticism comments",Negative
339,"Simone Biles honored with Barbie doll in her likeness",Positive
340,"Roger Federer returns to professional tennis after injury layoff",Positive
341,"England's Ben Stokes leads team to historic series win in India",Positive
342,"Boxing legend Manny Pacquiao launches boxing academy for underprivileged youth",Positive
343,"India's Virat Kohli becomes fastest batsman to score 12,000 ODI runs",Positive
344,"Tom Brady joins ownership group of NFL franchise",Positive
345,"Serena Williams announces partnership with Nike for new clothing line",Positive
346,"Cristiano Ronaldo surpasses Pele's record for most international goals",Positive
347,"Lewis Hamilton invests in sustainable energy startup",Positive
348,"Ashleigh Barty crowned Australian Open champion for second consecutive year",Positive
349,"Novak Djokovic faces criticism for on-court outburst at Australian Open",Negative
350,"Simone Biles honored with Time's Person of the Year award",Positive
351,"Roger Federer announces plans to compete in one final Wimbledon",Neutral
352,"England's Ben Stokes undergoes surgery for finger injury",Negative
353,"Boxing legend Manny Pacquiao returns to ring for exhibition match",Neutral
354,"India's Virat Kohli named ICC Men's Player of the Year",Positive
355,"Tom Brady named Super Bowl MVP for record seventh time",Positive
356,"Serena Williams launches initiative to promote women's sports",Positive
357,"Cristiano Ronaldo wins Ballon d'Or for sixth time",Positive
358,"Lewis Hamilton advocates for diversity and inclusion in motorsports",Positive
359,"Ashleigh Barty wins Olympic gold medal in tennis singles",Positive
360,"Novak Djokovic faces backlash for attending event amid COVID-19 pandemic",Negative
361,"Simone Biles collaborates with Athleta on activewear collection",Positive
362,"Roger Federer announces retirement from professional tennis",Neutral
363,"England's Ben Stokes appointed vice-captain of cricket team",Positive
364,"Boxing legend Manny Pacquiao honored with Lifetime Achievement award",Positive
365,"India's Virat Kohli becomes fastest batsman to score 13,000 Test runs",Positive
366,"Tom Brady signs contract extension with Tampa Bay Buccaneers",Positive
367,"Serena Williams partners with UNICEF to support children's education",Positive
368,"Cristiano Ronaldo launches fragrance line",Positive
369,"Lewis Hamilton wins Laureus World Sportsman of the Year award",Positive
370,"Ashleigh Barty announces retirement from professional tennis",Neutral
371,"Novak Djokovic becomes first player to win all Masters 1000 titles",Positive
372,"Simone Biles launches gymnastics scholarship program for underprivileged youth",Positive
373,"Roger Federer announces comeback to professional tennis",Positive
374,"England's Ben Stokes named Wisden Cricketer of the Year",Positive
375,"Boxing legend Manny Pacquiao honored with statue in Las Vegas",Positive
376,"India's Virat Kohli named ICC Men's Cricketer of the Year",Positive
377,"Tom Brady leads Tampa Bay Buccaneers to NFC Championship victory",Positive
378,"Serena Williams releases memoir detailing her life and career",Positive
379,"Cristiano Ronaldo named UEFA Champions League Player of the Season",Positive
380,"Lewis Hamilton launches initiative to promote STEM education",Positive
381,"Ashleigh Barty wins Wimbledon singles title",Positive
382,"Novak Djokovic defeats Rafael Nadal in thrilling five-set match",Positive
383,"Simone Biles becomes first gymnast to land Yurchenko double pike in competition",Positive
384,"Roger Federer undergoes successful knee surgery, targets return to tennis",Positive
385,"England's Ben Stokes guides team to T20 World Cup victory",Positive
386,"Boxing legend Manny Pacquiao announces run for president of Philippines",Neutral
387,"India's Virat Kohli surpasses Sachin Tendulkar's record for most Test centuries",Positive
388,"Tom Brady leads Tampa Bay Buccaneers to Super Bowl victory",Positive
389,"Serena Williams named Forbes' highest-paid female athlete",Positive
390,"Cristiano Ronaldo wins Serie A Player of the Year award",Positive
391,"Lewis Hamilton breaks Michael Schumacher's record for most wins in Formula 1",Positive
392,"Ashleigh Barty claims Australian Open singles title",Positive
393,"Novak Djokovic wins French Open, completes Career Grand Slam",Positive
394,"Simone Biles returns to gymnastics competition, wins gold medal",Positive
395,"Roger Federer hints at retirement following injury setback",Neutral
396,"England's Ben Stokes named BBC Sports Personality of the Year",Positive
397,"Boxing legend Manny Pacquiao retires from professional boxing",Neutral
398,"India's Virat Kohli leads team to historic Test series win in Australia",Positive
399,"Tom Brady signs contract extension with Tampa Bay Buccaneers",Positive
400,"Serena Williams advances to Wimbledon final",Positive
401,"Cristiano Ronaldo scores hat-trick in World Cup qualifier",Positive
402,"Lewis Hamilton wins Monaco Grand Prix in thrilling fashion",Positive
403,"Ashleigh Barty becomes world number one in women's tennis rankings",Positive
404,"Novak Djokovic clinches ATP Finals title with victory over Rafael Nadal",Positive
405,"Simone Biles sets new record for most gold medals at World Gymnastics Championships",Positive
406,"Roger Federer returns to competitive tennis after injury layoff",Positive
407,"England's Ben Stokes named Wisden Cricketer of the Year",Positive
408,"Boxing legend Manny Pacquiao honored with Lifetime Achievement award",Positive
409,"India's Virat Kohli becomes fastest batsman to score 13,000 Test runs",Positive
410,"Tom Brady signs contract extension with Tampa Bay Buccaneers",Positive
411,"Serena Williams partners with UNICEF to support children's education",Positive
412,"Cristiano Ronaldo launches fragrance line",Positive
413,"Lewis Hamilton wins Laureus World Sportsman of the Year award",Positive
414,"Ashleigh Barty announces retirement from professional tennis",Neutral
415,"Novak Djokovic becomes first player to win all Masters 1000 titles",Positive
416,"Simone Biles launches gymnastics scholarship program for underprivileged youth",Positive
417,"Roger Federer announces comeback to professional tennis",Positive
418,"England's Ben Stokes named Wisden Cricketer of the Year",Positive
419,"Boxing legend Manny Pacquiao honored with statue in Las Vegas",Positive
420,"India's Virat Kohli named ICC Men's Cricketer of the Year",Positive
421,"Tom Brady leads Tampa Bay Buccaneers to NFC Championship victory",Positive
422,"Serena Williams releases memoir detailing her life and career",Positive
423,"Cristiano Ronaldo named UEFA Champions League Player of the Season",Positive
424,"Lewis Hamilton launches initiative to promote STEM education",Positive
425,"Ashleigh Barty wins Wimbledon singles title",Positive
426,"Novak Djokovic defeats Rafael Nadal in thrilling five-set match",Positive
427,"Simone Biles becomes first gymnast to land Yurchenko double pike in competition",Positive
428,"Roger Federer undergoes successful knee surgery, targets return to tennis",Positive
429,"England's Ben Stokes guides team to T20 World Cup victory",Positive
430,"Boxing legend Manny Pacquiao announces run for president of Philippines",Neutral
431,"India's Virat Kohli surpasses Sachin Tendulkar's record for most Test centuries",Positive
432,"Tom Brady leads Tampa Bay Buccaneers to Super Bowl victory",Positive
433,"Serena Williams named Forbes' highest-paid female athlete",Positive
434,"Cristiano Ronaldo wins Serie A Player of the Year award",Positive
435,"Lewis Hamilton breaks Michael Schumacher's record for most wins in Formula 1",Positive
436,"Ashleigh Barty claims Australian Open singles title",Positive
437,"Novak Djokovic wins French Open, completes Career Grand Slam",Positive
438,"Simone Biles returns to gymnastics competition, wins gold medal",Positive
439,"Roger Federer hints at retirement following injury setback",Neutral
440,"England's Ben Stokes named BBC Sports Personality of the Year",Positive
441,"Boxing legend Manny Pacquiao retires from professional boxing",Neutral
442,"India's Virat Kohli leads team to historic Test series win in Australia",Positive
443,"Tom Brady signs contract extension with Tampa Bay Buccaneers",Positive
444,"Serena Williams advances to Wimbledon final",Positive
445,"Cristiano Ronaldo scores hat-trick in World Cup qualifier",Positive
446,"Lewis Hamilton wins Monaco Grand Prix in thrilling fashion",Positive
447,"Ashleigh Barty becomes world number one in women's tennis rankings",Positive
448,"Novak Djokovic clinches ATP Finals title with victory over Rafael Nadal",Positive
449,"Simone Biles sets new record for most gold medals at World Gymnastics Championships",Positive
450,"Roger Federer returns to competitive tennis after injury layoff",Positive
451,"England's Ben Stokes named Wisden Cricketer of the Year",Positive
452,"Boxing legend Manny Pacquiao honored with Lifetime Achievement award",Positive
