Text,Sentiment
Simba SC yapoteza pointi muhimu kwenye ligi kuu ya Tanzania,Negative
Mchezaji maarufu atoa kauli ya kustaajabisha,Neutral
Timu ya Kenya yapoteza nafasi ya kufuzu kwa mashindano,Negative
Simba SC yaingia katika hatua ya nusu fainali,Positive
Klabu ya Yanga yazidi kuandikisha rekodi nzuri,Positive
Timu ya taifa ya Tanzania yaingia katika hatua ya robo fainali,Positive
Yanga yaongoza kundi katika michuano ya kimataifa,Positive
Simba SC yaanza vizuri msimu mpya wa ligi kuu ya Tanzania,Positive
Mchezaji maarufu adaiwa kukosa nidhamu,Negative
Timu ya Kenya yaondolewa kwenye mashindano ya kimataifa,Negative
Yanga yatoka sare dhidi ya timu ya wageni,Neutral
Simba SC yatwaa taji la klabu bingwa Afrika,Positive
Klabu ya Yanga yaitoa Simba kwenye michuano ya kimataifa,Negative
Timu ya taifa ya Tanzania yazidi kufanya vizuri,Positive
Yanga yashindwa katika mechi ya ufunguzi,Negative
Simba SC yapokea kichapo kutoka kwa mahasimu wao,Negative
Klabu ya Azam FC yailaza Yanga katika mechi muhimu,Positive
Timu ya taifa ya Kenya yafuzu kwa hatua ya 16 bora,Positive
Simba SC yapoteza nafasi ya kufuzu kwa hatua ya nusu fainali,Negative
Kocha mkuu wa timu ya taifa azidiwa na shinikizo,Neutral
Mchezaji maarufu atangaza kustaafu,Negative
Timu ya Tanzania yatoka sare na timu ya majirani,Neutral
Yanga yashinda mechi ya kirafiki dhidi ya klabu ya kimataifa,Positive
Simba SC yaibuka kidedea katika mechi ya ugenini,Positive
Klabu ya Yanga yazidi kuimarisha kikosi chake,Positive
Timu ya taifa ya Kenya yailaza Uganda,Positive
Yanga yatwaa kombe la Shirikisho,Positive
Simba SC yaitoa klabu ya majirani kwenye michuano ya kimataifa,Positive
Klabu ya Azam FC yasajili wachezaji wapya kutoka nje ya nchi,Positive
Timu ya taifa ya Tanzania yaandikisha ushindi muhimu,Positive
Yanga yaanza vibaya msimu mpya wa ligi kuu ya Tanzania,Negative
Simba SC yapata ushindi wa kihistoria,Positive
Kocha mpya wa timu ya taifa aahidi mafanikio makubwa,Positive
Mchezaji maarufu atangaza kustaafu soka,Neutral
Timu ya Kenya yafuzu kwa hatua ya robo fainali,Positive
Simba SC yashindwa katika mechi ya kirafiki,Neutral
Klabu ya Yanga yapata kocha mpya wa kimataifa,Positive
Timu ya taifa ya Tanzania yaendelea kujenga uwezo,Positive
Yanga yapoteza nafasi ya kufuzu kwa hatua ya nusu fainali,Negative
Simba SC yatwaa ubingwa wa michuano ya kitaifa,Positive
Kocha mkuu wa Simba SC ajiuzulu,Negative
Mchezaji wa kimataifa atua klabu ya Yanga,Positive
Timu ya taifa ya Kenya yaongoza kundi katika mashindano,Positive
Simba SC yapokea msaada mkubwa kutoka kwa wadhamini,Positive
Klabu ya Yanga yazidi kuimarisha uwanja wake,Negative
Timu ya taifa ya Tanzania yashindwa katika mechi ya kirafiki,Negative
Yanga yapoteza nafasi ya kufuzu kwa hatua ya robo fainali,Negative
Simba SC yafuzu kwa hatua ya nusu fainali,Negative
Klabu ya Azam FC yailaza Yanga katika mechi ya kirafiki,Positive
Timu ya taifa ya Kenya yafuzu kwa hatua ya 16 bora,Positive
Mchezaji maarufu ajiunga na klabu ya Simba SC,Positive
Timu ya taifa ya Kenya yailaza Rwanda,Positive
Yanga yatwaa ubingwa wa kombe la FA,Positive
Simba SC yapoteza mchezo wa marudiano, Negative
Kocha mpya wa timu ya taifa atangazwa,Positive
Timu ya Tanzania yaandikisha ushindi wa kihistoria,Positive
Yanga yapokea kichapo cha mbwa mwizi, Negative
Simba SC yaendelea kuongoza ligi kuu,Positive
Klabu ya Azam FC yashindwa katika fainali, Negative
Timu ya taifa ya Kenya yatoka sare na Burundi,Neutral
Simba SC yaanza maandalizi ya michuano ya kimataifa,Positive
Mchezaji maarufu atangazwa kuwa nahodha mpya wa timu,Positive
Timu ya Tanzania yapoteza mchezo muhimu, Negative
Yanga yapata ushindi dhidi ya timu ya wageni,Positive
Simba SC yapoteza nafasi ya kushinda ubingwa, Negative
Kocha wa timu ya taifa afutwa kazi, Negative
Timu ya Kenya yaanza kampeni vizuri,Positive
Yanga yaendelea kufanya vizuri katika michuano,Positive
Simba SC yapoteza mchezo muhimu, Negative
Klabu ya Azam FC yazidi kuimarisha kikosi chake,Positive
Timu ya taifa ya Tanzania yavuna mafanikio,Positive
Yanga yapata ushindi wa mabao mengi,Positive
Simba SC yashindwa katika mechi ya ugenini, Negative
Kocha mpya wa klabu atoa matamshi ya kujiamini,Positive
Timu ya Kenya yapokea kichapo kutoka kwa Congo, Negative
Yanga yaibuka kidedea katika mechi muhimu,Positive
Simba SC yashindwa kwa penalti katika fainali, Negative
Klabu ya Azam FC yatwaa kombe la Shirikisho,Positive
Timu ya taifa ya Tanzania yatoka sare na Ghana,Neutral
Yanga yapata ushindi mkubwa dhidi ya timu pinzani,Positive
Simba SC yaendelea kuandikisha matokeo mazuri,Positive
Kocha mpya wa timu atoa changamoto kwa wachezaji,Positive
Timu ya Kenya yailaza Uganda katika mechi ya kirafiki,Positive
Yanga yapoteza mchezaji muhimu kwa majeruhi, Negative
Simba SC yatwaa ubingwa wa kombe la Mapinduzi,Positive
Klabu ya Azam FC yashinda mchezo wa mwisho,Positive
Timu ya taifa ya Tanzania yaendelea kujiandaa,Positive
Yanga yapokea msaada kutoka kwa wadhamini,Positive
Simba SC yatwaa ushindi muhimu katika mchezo wa marudiano,Positive
Kocha mkuu wa klabu ajiuzulu kutokana na matokeo mabaya, Negative
Timu ya Kenya yaendelea kujiimarisha,Positive
Yanga yashindwa katika mechi ya nusu fainali, Negative
Simba SC yapokea kichapo kutoka kwa wapinzani wao, Negative
Klabu ya Azam FC yatwaa taji la ligi kuu,Positive
Timu ya taifa ya Tanzania yapokea mwaliko wa mashindano ya kimataifa,Positive
Yanga yapata ushindi dhidi ya mahasimu wao,Positive
Simba SC yapoteza nafasi ya kufuzu kwa hatua ya robo fainali, Negative
Kocha mpya wa timu aahidi kuleta mabadiliko,Positive
Timu ya Kenya yashindwa katika mechi ya kufuzu, Negative
Yanga yashinda mchezo muhimu dhidi ya timu ya wageni,Positive
Simba SC yatwaa ubingwa wa michuano ya kimataifa,Positive
Klabu ya Azam FC yazidi kuandika historia,Positive
Timu ya taifa ya Tanzania yapoteza nafasi ya kufuzu, Negative
Yanga yapata ushindi wa kihistoria,Positive
Simba SC yapoteza kwa penalti katika mchezo wa kirafiki, Negative
Kocha wa timu ajiuzulu baada ya kushindwa kufikia malengo, Negative
Timu ya Kenya yapoteza kwa bao la dakika za mwisho, Negative
Yanga yailaza Simba katika mechi ya kirafiki,Positive
Simba SC yavuna matokeo mazuri katika mechi za nyumbani,Positive
Klabu ya Azam FC yatwaa ubingwa wa kimataifa,Positive
Timu ya taifa ya Tanzania yapokea mwaliko wa mashindano ya Afrika,Positive
Yanga yapata kichapo kutoka kwa timu pinzani, Negative
Simba SC yapoteza nafasi ya kufuzu kwa hatua ya 16 bora, Negative
Kocha mkuu wa timu aondolewa kwenye kikosi, Negative
Timu ya Kenya yaongoza kundi katika michuano ya bara,Positive
Yanga yapoteza nafasi ya kushinda ubingwa, Negative
Simba SC yapata ushindi dhidi ya mahasimu wao,Positive
Klabu ya Azam FC yailaza Yanga katika mechi ya marudiano,Positive
Timu ya taifa ya Tanzania yaandikisha matokeo mazuri katika mechi ya kwanza,Positive
Yanga yatwaa ubingwa wa michuano ya kitaifa,Positive
Simba SC yatwaa ubingwa wa ligi kuu,Positive
Kocha mpya wa timu atangaza mipango ya mafanikio,Positive
Timu ya Kenya yaendelea kujiandaa kwa michuano ya kimataifa,Positive
Yanga yapoteza kwa bao la dakika za mwisho, Negative
Simba SC yaendelea kuongoza ligi kuu ya Tanzania,Positive
Klabu ya Azam FC yavuna mafanikio makubwa katika mechi za ugenini,Positive
Timu ya taifa ya Tanzania yapokea ushindi wa kihistoria,Positive
Yanga yashindwa katika mechi ya ugenini, Negative
Simba SC yashinda katika mechi ya kirafiki dhidi ya timu ya majirani,Positive
Kocha mkuu wa timu atoa tamko la kujitolea,Positive
Timu ya Kenya yashindwa katika mechi ya marudiano, Negative
Yanga yapokea kichapo kutoka kwa wageni, Negative
Simba SC yapoteza nafasi ya kufuzu kwa hatua ya nusu fainali, Negative
Klabu ya Azam FC yazidi kuimarisha kikosi chake,Positive
Timu ya taifa ya Tanzania yatwaa ushindi muhimu dhidi ya timu ya wageni,Positive
Yanga yashinda mechi ya marudiano dhidi ya mahasimu wao,Positive
Simba SC yafanya maandalizi ya kuelekea katika mechi ya kimataifa,Positive
